iter	Passed	Remaining
0	114	34375
1	159	23760
2	187	18598
3	297	22027
4	396	23408
5	483	23715
6	519	21732
7	600	21924
8	659	21317
9	689	19992
10	975	25622
11	1003	24093
12	1121	24758
13	1163	23773
14	1193	22684
15	1332	23657
16	1366	22756
17	1395	21857
18	1499	22181
19	1605	22480
20	1636	21741
21	1747	22085
22	1865	22469
23	1901	21871
24	2013	22148
25	2135	22509
26	2176	22008
27	2204	21416
28	2318	21669
29	2452	22070
30	2490	21613
31	2529	21188
32	2644	21398
33	2758	21578
34	2820	21355
35	2856	20951
36	2970	21111
37	3026	20867
38	3066	20519
39	3206	20845
40	3249	20526
41	3396	20866
42	3444	20587
43	3567	20754
44	3605	20433
45	3695	20405
46	3745	20163
47	3802	19964
48	3942	20197
49	3972	19862
50	4120	20116
51	4161	19845
52	4223	19683
53	4324	19700
54	4354	19396
55	4464	19454
56	4530	19316
57	4696	19597
58	4733	19334
59	4761	19044
60	4887	19148
61	4936	18949
62	4966	18681
63	5075	18717
64	5118	18504
65	5147	18250
66	5288	18391
67	5383	18366
68	5527	18505
69	5645	18549
70	5680	18321
71	5711	18085
72	5829	18126
73	5868	17921
74	5896	17690
75	6004	17696
76	6113	17704
77	6265	17832
78	6361	17796
79	6574	18079
80	6609	17870
81	6783	18033
82	6901	18042
83	7014	18038
84	7059	17857
85	7091	17645
86	7119	17429
87	7238	17437
88	7275	17249
89	7301	17036
90	7429	17062
91	7464	16875
92	7493	16678
93	7521	16484
94	7709	16636
95	7765	16501
96	7794	16312
97	7893	16269
98	7973	16187
99	8005	16011
100	8035	15832
101	8159	15839
102	8227	15736
103	8262	15571
104	8287	15390
105	8404	15381
106	8441	15226
107	8474	15066
108	8501	14896
109	8626	14900
110	8655	14738
111	8719	14636
112	8800	14563
113	8838	14420
114	8874	14276
115	9005	14284
116	9052	14158
117	9080	14005
118	9157	13928
119	9220	13831
120	9327	13798
121	9370	13671
122	9419	13554
123	9569	13583
124	9602	13443
125	9726	13431
126	9771	13310
127	9805	13176
128	9919	13149
129	9975	13045
130	10073	12995
131	10129	12892
132	10172	12773
133	10200	12636
134	10339	12637
135	10382	12520
136	10415	12392
137	10447	12264
138	10558	12229
139	10589	12101
140	10619	11974
141	10736	11946
142	10786	11842
143	10815	11716
144	10926	11680
145	10970	11571
146	10996	11445
147	11095	11395
148	11172	11321
149	11213	11213
150	11240	11091
151	11350	11051
152	11407	10959
153	11437	10842
154	11471	10731
155	11571	10681
156	11601	10566
157	11720	10534
158	11780	10447
159	11815	10338
160	11841	10223
161	11954	10183
162	12014	10098
163	12051	9993
164	12081	9884
165	12195	9844
166	12252	9758
167	12282	9650
168	12334	9560
169	12418	9496
170	12449	9391
171	12574	9357
172	12622	9266
173	12731	9219
174	12764	9117
175	12871	9068
176	12925	8982
177	12956	8880
178	13064	8831
179	13105	8737
180	13134	8635
181	13244	8586
182	13291	8498
183	13332	8405
184	13464	8369
185	13507	8278
186	13537	8180
187	13633	8122
188	13693	8042
189	13806	7993
190	13856	7907
191	13885	7810
192	14002	7763
193	14038	7670
194	14091	7587
195	14223	7547
196	14341	7498
197	14414	7425
198	14457	7337
199	14557	7278
200	14670	7225
201	14823	7191
202	14868	7104
203	15001	7059
204	15175	7032
205	15207	6939
206	15238	6846
207	15441	6830
208	15486	6742
209	15521	6651
210	15636	6595
211	15704	6518
212	15832	6466
213	15861	6374
214	16139	6380
215	16180	6292
216	16278	6226
217	16358	6153
218	16569	6128
219	16615	6041
220	16655	5953
221	16704	5869
222	16750	5783
223	16794	5698
224	16840	5613
225	16899	5533
226	16959	5454
227	17054	5385
228	17187	5328
229	17302	5266
230	17334	5177
231	17358	5087
232	17496	5031
233	17531	4944
234	17669	4887
235	17757	4815
236	17809	4734
237	17943	4674
238	17980	4589
239	18133	4533
240	18230	4463
241	18375	4403
242	18513	4342
243	18544	4256
244	18644	4185
245	18676	4099
246	18822	4038
247	18858	3954
248	18883	3867
249	18997	3799
250	19033	3715
251	19060	3630
252	19144	3556
253	19201	3477
254	19265	3399
255	19337	3323
256	19366	3240
257	19513	3176
258	19659	3112
259	19693	3029
260	19723	2947
261	19853	2879
262	19905	2800
263	19937	2718
264	19962	2636
265	20077	2566
266	20120	2486
267	20150	2406
268	20192	2327
269	20302	2255
270	20336	2176
271	20365	2096
272	20402	2017
273	20514	1946
274	20548	1868
275	20576	1789
276	20611	1711
277	20747	1641
278	20778	1563
279	20808	1486
280	20918	1414
281	20955	1337
282	20981	1260
283	21097	1188
284	21136	1112
285	21174	1036
286	21248	962
287	21328	888
288	21362	813
289	21387	737
290	21475	664
291	21550	590
292	21576	515
293	21708	443
294	21769	368
295	21799	294
296	21871	220
297	21947	147
298	21984	73
299	22010	0
